ID,대출등급
TEST_00000,B
TEST_00001,B
TEST_00002,A
TEST_00003,C
TEST_00004,C
TEST_00005,A
TEST_00006,B
TEST_00007,B
TEST_00008,B
TEST_00009,C
TEST_00010,C
TEST_00011,C
TEST_00012,C
TEST_00013,C
TEST_00014,A
TEST_00015,A
TEST_00016,C
TEST_00017,C
TEST_00018,B
TEST_00019,C
TEST_00020,C
TEST_00021,C
TEST_00022,C
TEST_00023,G
TEST_00024,A
TEST_00025,B
TEST_00026,A
TEST_00027,D
TEST_00028,C
TEST_00029,A
TEST_00030,D
TEST_00031,A
TEST_00032,A
TEST_00033,B
TEST_00034,B
TEST_00035,D
TEST_00036,B
TEST_00037,C
TEST_00038,B
TEST_00039,E
TEST_00040,C
TEST_00041,C
TEST_00042,B
TEST_00043,C
TEST_00044,C
TEST_00045,E
TEST_00046,E
TEST_00047,E
TEST_00048,A
TEST_00049,E
TEST_00050,B
TEST_00051,C
TEST_00052,D
TEST_00053,C
TEST_00054,C
TEST_00055,D
TEST_00056,A
TEST_00057,C
TEST_00058,B
TEST_00059,B
TEST_00060,C
TEST_00061,B
TEST_00062,A
TEST_00063,C
TEST_00064,B
TEST_00065,D
TEST_00066,C
TEST_00067,C
TEST_00068,B
TEST_00069,E
TEST_00070,B
TEST_00071,B
TEST_00072,C
TEST_00073,C
TEST_00074,C
TEST_00075,C
TEST_00076,C
TEST_00077,A
TEST_00078,B
TEST_00079,B
TEST_00080,B
TEST_00081,F
TEST_00082,A
TEST_00083,B
TEST_00084,B
TEST_00085,C
TEST_00086,C
TEST_00087,D
TEST_00088,B
TEST_00089,C
TEST_00090,B
TEST_00091,D
TEST_00092,C
TEST_00093,B
TEST_00094,C
TEST_00095,D
TEST_00096,B
TEST_00097,D
TEST_00098,B
TEST_00099,C
TEST_00100,B
TEST_00101,C
TEST_00102,C
TEST_00103,C
TEST_00104,C
TEST_00105,B
TEST_00106,C
TEST_00107,E
TEST_00108,C
TEST_00109,D
TEST_00110,B
TEST_00111,C
TEST_00112,C
TEST_00113,B
TEST_00114,D
TEST_00115,D
TEST_00116,B
TEST_00117,C
TEST_00118,B
TEST_00119,F
TEST_00120,C
TEST_00121,B
TEST_00122,C
TEST_00123,B
TEST_00124,D
TEST_00125,B
TEST_00126,E
TEST_00127,C
TEST_00128,A
TEST_00129,C
TEST_00130,B
TEST_00131,A
TEST_00132,D
TEST_00133,B
TEST_00134,B
TEST_00135,B
TEST_00136,B
TEST_00137,D
TEST_00138,C
TEST_00139,G
TEST_00140,C
TEST_00141,A
TEST_00142,B
TEST_00143,D
TEST_00144,B
TEST_00145,B
TEST_00146,D
TEST_00147,C
TEST_00148,A
TEST_00149,A
TEST_00150,D
TEST_00151,D
TEST_00152,D
TEST_00153,E
TEST_00154,C
TEST_00155,C
TEST_00156,B
TEST_00157,D
TEST_00158,E
TEST_00159,B
TEST_00160,B
TEST_00161,C
TEST_00162,D
TEST_00163,C
TEST_00164,C
TEST_00165,G
TEST_00166,C
TEST_00167,E
TEST_00168,D
TEST_00169,F
TEST_00170,F
TEST_00171,C
TEST_00172,D
TEST_00173,C
TEST_00174,C
TEST_00175,C
TEST_00176,C
TEST_00177,B
TEST_00178,B
TEST_00179,B
TEST_00180,C
TEST_00181,C
TEST_00182,B
TEST_00183,A
TEST_00184,A
TEST_00185,B
TEST_00186,B
TEST_00187,C
TEST_00188,D
TEST_00189,G
TEST_00190,C
TEST_00191,E
TEST_00192,D
TEST_00193,D
TEST_00194,C
TEST_00195,C
TEST_00196,B
TEST_00197,B
TEST_00198,B
TEST_00199,A
TEST_00200,B
TEST_00201,C
TEST_00202,A
TEST_00203,B
TEST_00204,C
TEST_00205,C
TEST_00206,C
TEST_00207,D
TEST_00208,C
TEST_00209,D
TEST_00210,F
TEST_00211,B
TEST_00212,B
TEST_00213,B
TEST_00214,B
TEST_00215,B
TEST_00216,D
TEST_00217,B
TEST_00218,E
TEST_00219,C
TEST_00220,B
TEST_00221,B
TEST_00222,B
TEST_00223,C
TEST_00224,B
TEST_00225,A
TEST_00226,D
TEST_00227,D
TEST_00228,C
TEST_00229,C
TEST_00230,A
TEST_00231,E
TEST_00232,D
TEST_00233,A
TEST_00234,C
TEST_00235,C
TEST_00236,A
TEST_00237,C
TEST_00238,C
TEST_00239,A
TEST_00240,A
TEST_00241,B
TEST_00242,B
TEST_00243,B
TEST_00244,B
TEST_00245,B
TEST_00246,E
TEST_00247,B
TEST_00248,C
TEST_00249,C
TEST_00250,D
TEST_00251,B
TEST_00252,B
TEST_00253,B
TEST_00254,C
TEST_00255,B
TEST_00256,B
TEST_00257,B
TEST_00258,B
TEST_00259,A
TEST_00260,C
TEST_00261,B
TEST_00262,D
TEST_00263,B
TEST_00264,A
TEST_00265,B
TEST_00266,C
TEST_00267,F
TEST_00268,A
TEST_00269,D
TEST_00270,C
TEST_00271,A
TEST_00272,B
TEST_00273,C
TEST_00274,E
TEST_00275,C
TEST_00276,A
TEST_00277,B
TEST_00278,C
TEST_00279,F
TEST_00280,C
TEST_00281,D
TEST_00282,C
TEST_00283,A
TEST_00284,D
TEST_00285,B
TEST_00286,C
TEST_00287,C
TEST_00288,A
TEST_00289,C
TEST_00290,C
TEST_00291,A
TEST_00292,B
TEST_00293,B
TEST_00294,E
TEST_00295,A
TEST_00296,A
TEST_00297,B
TEST_00298,F
TEST_00299,A
TEST_00300,C
TEST_00301,A
TEST_00302,B
TEST_00303,C
TEST_00304,B
TEST_00305,B
TEST_00306,C
TEST_00307,B
TEST_00308,E
TEST_00309,D
TEST_00310,D
TEST_00311,B
TEST_00312,C
TEST_00313,D
TEST_00314,B
TEST_00315,A
TEST_00316,D
TEST_00317,A
TEST_00318,B
TEST_00319,D
TEST_00320,D
TEST_00321,B
TEST_00322,C
TEST_00323,D
TEST_00324,B
TEST_00325,C
TEST_00326,A
TEST_00327,B
TEST_00328,D
TEST_00329,E
TEST_00330,A
TEST_00331,C
TEST_00332,E
TEST_00333,C
TEST_00334,C
TEST_00335,A
TEST_00336,C
TEST_00337,A
TEST_00338,D
TEST_00339,C
TEST_00340,B
TEST_00341,D
TEST_00342,C
TEST_00343,B
TEST_00344,C
TEST_00345,C
TEST_00346,B
TEST_00347,D
TEST_00348,D
TEST_00349,B
TEST_00350,C
TEST_00351,A
TEST_00352,C
TEST_00353,C
TEST_00354,B
TEST_00355,D
TEST_00356,C
TEST_00357,C
TEST_00358,C
TEST_00359,A
TEST_00360,E
TEST_00361,B
TEST_00362,E
TEST_00363,A
TEST_00364,B
TEST_00365,A
TEST_00366,B
TEST_00367,B
TEST_00368,C
TEST_00369,D
TEST_00370,E
TEST_00371,B
TEST_00372,D
TEST_00373,A
TEST_00374,D
TEST_00375,C
TEST_00376,A
TEST_00377,A
TEST_00378,D
TEST_00379,A
TEST_00380,E
TEST_00381,A
TEST_00382,G
TEST_00383,A
TEST_00384,C
TEST_00385,A
TEST_00386,C
TEST_00387,B
TEST_00388,B
TEST_00389,A
TEST_00390,E
TEST_00391,C
TEST_00392,B
TEST_00393,A
TEST_00394,B
TEST_00395,E
TEST_00396,B
TEST_00397,B
TEST_00398,B
TEST_00399,A
TEST_00400,B
TEST_00401,F
TEST_00402,A
TEST_00403,C
TEST_00404,B
TEST_00405,A
TEST_00406,B
TEST_00407,A
TEST_00408,A
TEST_00409,A
TEST_00410,B
TEST_00411,A
TEST_00412,B
TEST_00413,A
TEST_00414,C
TEST_00415,C
TEST_00416,D
TEST_00417,D
TEST_00418,B
TEST_00419,C
TEST_00420,D
TEST_00421,D
TEST_00422,C
TEST_00423,E
TEST_00424,B
TEST_00425,B
TEST_00426,D
TEST_00427,B
TEST_00428,B
TEST_00429,A
TEST_00430,A
TEST_00431,C
TEST_00432,B
TEST_00433,D
TEST_00434,B
TEST_00435,B
TEST_00436,A
TEST_00437,B
TEST_00438,C
TEST_00439,B
TEST_00440,G
TEST_00441,E
TEST_00442,C
TEST_00443,B
TEST_00444,B
TEST_00445,B
TEST_00446,B
TEST_00447,E
TEST_00448,C
TEST_00449,B
TEST_00450,E
TEST_00451,C
TEST_00452,C
TEST_00453,E
TEST_00454,B
TEST_00455,D
TEST_00456,E
TEST_00457,B
TEST_00458,D
TEST_00459,C
TEST_00460,D
TEST_00461,D
TEST_00462,C
TEST_00463,C
TEST_00464,A
TEST_00465,A
TEST_00466,B
TEST_00467,B
TEST_00468,B
TEST_00469,A
TEST_00470,A
TEST_00471,C
TEST_00472,D
TEST_00473,C
TEST_00474,B
TEST_00475,A
TEST_00476,B
TEST_00477,B
TEST_00478,C
TEST_00479,B
TEST_00480,A
TEST_00481,C
TEST_00482,D
TEST_00483,C
TEST_00484,A
TEST_00485,C
TEST_00486,A
TEST_00487,E
TEST_00488,E
TEST_00489,D
TEST_00490,D
TEST_00491,C
TEST_00492,B
TEST_00493,B
TEST_00494,B
TEST_00495,C
TEST_00496,B
TEST_00497,C
TEST_00498,C
TEST_00499,D
TEST_00500,D
TEST_00501,B
TEST_00502,A
TEST_00503,C
TEST_00504,A
TEST_00505,B
TEST_00506,C
TEST_00507,B
TEST_00508,C
TEST_00509,C
TEST_00510,C
TEST_00511,C
TEST_00512,E
TEST_00513,B
TEST_00514,B
TEST_00515,C
TEST_00516,B
TEST_00517,C
TEST_00518,E
TEST_00519,B
TEST_00520,B
TEST_00521,B
TEST_00522,B
TEST_00523,C
TEST_00524,A
TEST_00525,A
TEST_00526,B
TEST_00527,D
TEST_00528,B
TEST_00529,C
TEST_00530,D
TEST_00531,D
TEST_00532,D
TEST_00533,B
TEST_00534,A
TEST_00535,B
TEST_00536,D
TEST_00537,B
TEST_00538,A
TEST_00539,C
TEST_00540,B
TEST_00541,B
TEST_00542,B
TEST_00543,C
TEST_00544,C
TEST_00545,C
TEST_00546,C
TEST_00547,D
TEST_00548,E
TEST_00549,C
TEST_00550,D
TEST_00551,A
TEST_00552,B
TEST_00553,A
TEST_00554,B
TEST_00555,G
TEST_00556,B
TEST_00557,A
TEST_00558,A
TEST_00559,A
TEST_00560,D
TEST_00561,C
TEST_00562,B
TEST_00563,C
TEST_00564,D
TEST_00565,D
TEST_00566,B
TEST_00567,A
TEST_00568,A
TEST_00569,B
TEST_00570,C
TEST_00571,B
TEST_00572,B
TEST_00573,E
TEST_00574,C
TEST_00575,B
TEST_00576,C
TEST_00577,B
TEST_00578,B
TEST_00579,A
TEST_00580,A
TEST_00581,C
TEST_00582,B
TEST_00583,A
TEST_00584,C
TEST_00585,D
TEST_00586,C
TEST_00587,C
TEST_00588,B
TEST_00589,E
TEST_00590,C
TEST_00591,C
TEST_00592,C
TEST_00593,D
TEST_00594,B
TEST_00595,C
TEST_00596,C
TEST_00597,D
TEST_00598,B
TEST_00599,C
TEST_00600,A
TEST_00601,B
TEST_00602,B
TEST_00603,C
TEST_00604,E
TEST_00605,C
TEST_00606,B
TEST_00607,E
TEST_00608,F
TEST_00609,B
TEST_00610,A
TEST_00611,B
TEST_00612,B
TEST_00613,C
TEST_00614,D
TEST_00615,E
TEST_00616,C
TEST_00617,C
TEST_00618,E
TEST_00619,C
TEST_00620,E
TEST_00621,A
TEST_00622,C
TEST_00623,A
TEST_00624,C
TEST_00625,B
TEST_00626,B
TEST_00627,C
TEST_00628,A
TEST_00629,E
TEST_00630,A
TEST_00631,B
TEST_00632,B
TEST_00633,B
TEST_00634,B
TEST_00635,C
TEST_00636,E
TEST_00637,E
TEST_00638,B
TEST_00639,A
TEST_00640,D
TEST_00641,C
TEST_00642,C
TEST_00643,C
TEST_00644,B
TEST_00645,C
TEST_00646,D
TEST_00647,B
TEST_00648,B
TEST_00649,D
TEST_00650,A
TEST_00651,C
TEST_00652,A
TEST_00653,C
TEST_00654,B
TEST_00655,A
TEST_00656,C
TEST_00657,C
TEST_00658,A
TEST_00659,B
TEST_00660,D
TEST_00661,D
TEST_00662,B
TEST_00663,F
TEST_00664,B
TEST_00665,A
TEST_00666,B
TEST_00667,E
TEST_00668,C
TEST_00669,C
TEST_00670,D
TEST_00671,D
TEST_00672,B
TEST_00673,C
TEST_00674,D
TEST_00675,B
TEST_00676,C
TEST_00677,C
TEST_00678,A
TEST_00679,B
TEST_00680,A
TEST_00681,C
TEST_00682,C
TEST_00683,A
TEST_00684,A
TEST_00685,B
TEST_00686,B
TEST_00687,E
TEST_00688,D
TEST_00689,C
TEST_00690,E
TEST_00691,B
TEST_00692,B
TEST_00693,F
TEST_00694,B
TEST_00695,A
TEST_00696,B
TEST_00697,D
TEST_00698,B
TEST_00699,E
TEST_00700,D
TEST_00701,B
TEST_00702,D
TEST_00703,E
TEST_00704,D
TEST_00705,B
TEST_00706,D
TEST_00707,A
TEST_00708,A
TEST_00709,C
TEST_00710,D
TEST_00711,C
TEST_00712,B
TEST_00713,B
TEST_00714,B
TEST_00715,C
TEST_00716,B
TEST_00717,B
TEST_00718,C
TEST_00719,B
TEST_00720,B
TEST_00721,C
TEST_00722,C
TEST_00723,E
TEST_00724,D
TEST_00725,C
TEST_00726,B
TEST_00727,B
TEST_00728,A
TEST_00729,E
TEST_00730,A
TEST_00731,D
TEST_00732,E
TEST_00733,C
TEST_00734,C
TEST_00735,F
TEST_00736,E
TEST_00737,A
TEST_00738,E
TEST_00739,B
TEST_00740,B
TEST_00741,D
TEST_00742,D
TEST_00743,C
TEST_00744,A
TEST_00745,D
TEST_00746,B
TEST_00747,B
TEST_00748,E
TEST_00749,C
TEST_00750,B
TEST_00751,B
TEST_00752,A
TEST_00753,A
TEST_00754,A
TEST_00755,A
TEST_00756,A
TEST_00757,B
TEST_00758,B
TEST_00759,E
TEST_00760,B
TEST_00761,B
TEST_00762,D
TEST_00763,B
TEST_00764,C
TEST_00765,B
TEST_00766,C
TEST_00767,B
TEST_00768,E
TEST_00769,A
TEST_00770,D
TEST_00771,A
TEST_00772,C
TEST_00773,D
TEST_00774,C
TEST_00775,D
TEST_00776,D
TEST_00777,B
TEST_00778,A
TEST_00779,B
TEST_00780,C
TEST_00781,C
TEST_00782,C
TEST_00783,D
TEST_00784,C
TEST_00785,A
TEST_00786,A
