iter	RMSE
0	5.190638996
1	4.909129624
2	4.660112444
3	4.435133948
4	4.234093096
5	4.056715954
6	3.900986704
7	3.764559881
8	3.642913362
9	3.53860141
10	3.447660253
11	3.364767684
12	3.290128861
13	3.226752721
14	3.168418368
15	3.12177167
16	3.076057093
17	3.035787883
18	3.002480812
19	2.971843515
20	2.944145088
21	2.923438083
22	2.903792309
23	2.8831603
24	2.866258013
25	2.848850349
26	2.833703993
27	2.822437065
28	2.809638876
29	2.795651315
30	2.788373399
31	2.776101278
32	2.77018895
33	2.764403194
34	2.75589876
35	2.749954909
36	2.742411995
37	2.736216196
38	2.732363766
39	2.729369715
40	2.723978041
41	2.71937781
42	2.714289108
43	2.712912405
44	2.70711174
45	2.704618452
46	2.698821682
47	2.693437675
48	2.688849528
49	2.688141514
50	2.685080823
51	2.682306017
52	2.67822782
53	2.672003536
54	2.671589493
55	2.666768349
56	2.663986213
57	2.658726761
58	2.652379237
59	2.65172737
60	2.651609438
61	2.649108065
62	2.644279988
63	2.642670091
64	2.642314328
65	2.639719353
66	2.635682559
67	2.631259609
68	2.629927645
69	2.629329002
70	2.624613066
71	2.624290052
72	2.620860932
73	2.616312699
74	2.61477098
75	2.612819771
76	2.610011108
77	2.60981042
78	2.606605484
79	2.606458854
80	2.603827575
81	2.60018389
82	2.599877246
83	2.596459972
84	2.596324531
85	2.59382158
86	2.590303994
87	2.587862701
88	2.586502751
89	2.585212821
90	2.58406742
91	2.581393562
92	2.579147592
93	2.574276476
94	2.57231867
95	2.570702388
96	2.569163099
97	2.568514567
98	2.568490983
99	2.567129729
100	2.562524766
101	2.560773466
102	2.559054766
103	2.557065566
104	2.555637157
105	2.555346263
106	2.555194451
107	2.552806351
108	2.549312433
109	2.548321818
110	2.544888557
111	2.543173886
112	2.540719686
113	2.539431278
114	2.535620543
115	2.535053006
116	2.533850811
117	2.533493204
118	2.532570622
119	2.530283886
120	2.52950606
121	2.528475096
122	2.526413741
123	2.524466067
124	2.522468156
125	2.521019356
126	2.520921979
127	2.519766918
128	2.518631344
129	2.516186578
130	2.514639086
131	2.513425216
132	2.513352269
133	2.509694987
134	2.506724304
135	2.506676958
136	2.504823335
137	2.503742531
138	2.502462008
139	2.502418827
140	2.500256315
141	2.50017881
142	2.496718438
143	2.49525015
144	2.493641263
145	2.492671688
146	2.492183388
147	2.489541823
148	2.487530626
149	2.486200468
150	2.484418947
151	2.483285022
152	2.481559156
153	2.479914847
154	2.479409262
155	2.477913308
156	2.47435512
157	2.474141876
158	2.473956484
159	2.472714272
160	2.472346321
161	2.471260994
162	2.470276179
163	2.469857903
164	2.467818449
165	2.46732616
166	2.46723183
167	2.465676945
168	2.464819235
169	2.462420804
170	2.462205455
171	2.460436424
172	2.459727834
173	2.458645153
174	2.458441796
175	2.458264472
176	2.458071149
177	2.457170201
178	2.456164724
