iter	Passed	Remaining
0	563	449926
1	1030	410703
2	1524	404526
3	2212	439642
4	3101	492565
5	3964	523995
6	4892	553582
7	5630	556759
8	6549	574929
9	7347	579700
10	8153	584055
11	8834	579365
12	9531	576290
13	10174	570512
14	10760	562436
15	11460	560864
16	12135	558239
17	12794	555122
18	13418	550881
19	13996	545147
20	14594	540699
21	15211	537236
22	15747	531312
23	16331	527387
24	16907	523460
25	17499	520285
26	18145	518820
27	18731	515775
28	19323	513083
29	19873	509417
30	20506	508023
31	21120	506221
32	21756	505018
33	22564	507693
34	23575	514614
35	24707	523660
36	25731	529938
37	26333	527362
38	26945	525087
39	27821	527921
40	28750	531535
41	29492	531558
42	30152	530122
43	30802	528537
44	31535	528391
45	32118	525769
46	32919	526709
47	33714	527494
48	34383	526270
49	34821	521626
50	35543	521300
51	36215	520248
52	36896	519342
53	37643	519345
54	38362	518938
55	39017	517678
56	39627	515850
57	40192	513492
58	40802	511762
59	41515	511327
60	41623	503574
61	42203	501672
62	42755	499495
63	43243	496622
64	43543	491707
65	44179	490662
66	44870	490223
67	45514	489280
68	45944	486076
69	46560	484893
70	47217	484148
71	47813	482782
72	48380	481156
73	49007	480144
74	49551	478333
75	50167	477251
76	50863	476925
77	51302	474223
78	51856	472619
79	52165	468840
80	52830	468304
81	53493	467743
82	54106	466749
83	54731	465872
84	55203	463706
85	55780	462458
86	56342	461097
87	56954	460169
88	57503	458732
89	57982	456770
90	58535	455420
91	59116	454295
92	59597	452430
93	60138	451035
94	60663	449551
95	61271	448683
96	61958	448403
97	62834	449456
98	62992	445403
99	63481	443735
100	64194	443642
101	64813	442893
102	65292	441201
103	65906	440431
104	66751	441195
105	67422	440791
106	67812	438565
107	68424	437790
108	68961	436547
109	69566	435740
110	70130	434684
111	70622	433191
112	71167	432044
113	71702	430843
114	72292	429985
115	72830	428823
116	73393	427817
117	73934	426689
118	74449	425427
119	75042	424612
120	75693	424135
121	76256	423159
122	76861	422426
123	77433	421511
124	77912	420106
125	78478	419173
126	78914	417561
127	79418	416327
128	79979	415396
129	80555	414548
130	81162	413865
131	81913	413910
132	82245	411843
133	82807	410947
134	83382	410118
135	83669	407891
136	84211	406917
137	84719	405796
138	85356	405288
139	85633	403089
140	86264	402568
141	86753	401386
142	87382	400859
143	88004	400298
144	88733	400218
145	89348	399619
146	89923	398843
147	90488	398025
148	91162	397688
149	91844	397381
150	92402	396534
151	93068	396153
152	93728	395742
153	94385	395316
154	95053	394933
155	95663	394305
156	96318	393862
157	96960	393366
158	97646	393041
159	98327	392696
160	99031	392433
161	99666	391899
162	100328	391466
163	100968	390946
164	101567	390263
165	102351	390293
166	103011	389841
167	103628	389222
168	104191	388406
169	104815	387818
170	105462	387314
171	106087	386725
172	106730	386202
173	107389	385737
174	108039	385239
175	108713	384820
176	109343	384246
177	110041	383907
178	110665	383309
179	111237	382532
180	111904	382083
181	112520	381455
182	113098	380704
183	113724	380112
184	114405	379701
185	115050	379170
186	115657	378515
187	116391	378272
188	117143	378081
189	117782	377524
190	118347	376728
191	118918	375955
192	119531	375314
193	120190	374819
194	120917	374534
195	121523	373870
196	122087	373079
197	122731	372533
198	123306	371777
199	123932	371177
200	124557	370573
201	125110	369758
202	125736	369157
203	126354	368533
204	126957	367867
205	127522	367090
206	128051	366214
207	128611	365430
208	129162	364620
209	129728	363857
210	130298	363106
211	130742	362008
212	131339	361338
213	132003	360851
214	132591	360154
215	133215	359559
216	133793	358837
217	134325	357996
218	134889	357242
219	135508	356633
220	136016	355735
221	136579	354982
222	137127	354194
223	137831	353808
224	138335	352909
225	138861	352068
226	139380	351215
227	139927	350433
228	140325	349280
229	140848	348445
230	141404	347695
231	141964	346955
232	142561	346307
233	143143	345624
234	143679	344831
235	144205	344016
236	144782	343323
237	145398	342724
238	145993	342075
239	146610	341479
240	147021	340405
