user_id,subscription_duration,recent_login_time,average_login_time,average_time_per_learning_session,monthly_active_learning_days,total_completed_courses,recent_learning_achievement,abandoned_learning_sessions,community_engagement_level,preferred_difficulty_level,subscription_type,customer_inquiry_history,payment_pattern,target
b919c29d,13,14,14.946162670655838,8.427187446481744,18,16,68.36045451291152,3,4,Low,Basic,4,5,0
a0a60abb,16,18,18.4532237343742,72.64608658600952,16,13,97.56732180488912,2,3,Medium,Basic,1,6,1
b9f171ae,22,1,16.195227971240396,21.774492401397836,13,14,94.35876337099018,3,4,Medium,Premium,0,7,1
5dc0ba8b,1,19,17.628655750735078,42.659066245301446,19,18,70.15322825333023,0,3,Low,Basic,1,0,1
65c83654,4,5,21.39065587777074,30.74428701189185,19,10,81.91790764651992,2,4,Medium,Basic,3,0,1
b7586b82,4,4,17.27400687173571,34.03418875983523,21,8,74.37102805868864,2,4,High,Basic,5,7,0
682ca511,8,23,10.629897270779695,116.45594920591171,12,10,58.70838958775084,0,2,Low,Basic,0,6,1
8c948022,10,20,14.75171315042182,67.82139292952793,10,16,88.56777663662491,3,5,Low,Premium,1,1,1
9e6713d2,20,4,12.6245816689018,37.38421029670329,8,8,63.62439481255824,4,4,High,Basic,0,0,1
0eac44aa,22,8,10.545536491988583,18.696272575764887,5,10,57.64699179252341,5,4,Medium,Basic,4,7,1
594da7eb,19,21,13.953449493419477,135.25683412165088,13,11,76.4144806141491,0,4,High,Basic,2,1,0
b8696d56,5,28,18.47454519072252,117.13459889830426,9,9,97.78623687601242,6,3,Medium,Premium,2,3,0
25c57932,7,22,15.392561280560535,176.3047794647618,16,10,69.10085004169369,4,5,High,Premium,2,0,1
10774096,13,8,12.744196989423823,75.28560329291906,10,14,76.78304816725064,6,5,High,Basic,0,1,1
aba89783,2,27,10.303337319721525,2.712124370076829,20,8,82.4919116076118,4,5,Low,Basic,4,6,0
4716e6cb,7,22,9.743146882261687,79.121684877309,24,13,91.06680147897768,2,3,Low,Basic,3,6,0
d35c46d7,8,19,12.355991324350262,18.753933081586073,19,13,87.8106880176994,1,5,High,Premium,2,1,0
26d9ebe2,15,24,18.18745131629005,36.72276295705744,14,10,92.62893457856852,3,3,High,Basic,0,6,1
61bf854a,18,19,18.519018027867894,8.38999946470576,20,8,65.80616029082331,3,5,Medium,Basic,1,0,1
c8d9c81f,6,16,14.571676125181458,5.838557375275204,23,21,73.92174454325773,1,5,Low,Basic,4,0,1
677de4b6,14,26,20.14017614811416,161.12483990058487,22,10,60.007255768676,2,5,Low,Premium,1,6,0
c85a61b6,9,23,14.62514425916634,128.59889320456136,19,16,76.96877724251476,0,2,Low,Basic,4,4,0
3b6f7275,10,15,10.896851829276628,114.02308037686011,1,14,63.09656292186687,3,5,High,Premium,3,1,1
795600b8,21,1,10.486532045776304,77.62306202833636,1,11,89.25484501327094,1,1,Medium,Basic,2,0,1
69d99a48,20,25,16.443162397065684,21.31841058127041,2,15,85.92767120634916,4,5,Low,Premium,4,3,1
fc660a6e,17,29,20.36416735703951,14.93105362940962,1,6,44.72799679511624,1,3,High,Basic,1,6,1
9c9e76a1,20,5,13.839495354372254,6.181276164330841,3,13,94.2716521812628,3,3,Low,Basic,0,3,1
11c0c39b,6,17,11.796444951905055,280.5523674393512,17,15,80.82695848154495,1,4,Low,Premium,0,3,1
a9b123fd,16,10,16.72524940573594,17.038367920783443,10,16,84.96577872764051,2,3,Low,Basic,3,1,1
5847745f,16,4,15.983984987153857,3.781315119466416,5,13,70.92456706157223,6,4,Medium,Premium,1,5,0
8211b1ee,1,19,7.399941343443708,24.74490868453276,17,9,79.61184579206152,3,5,High,Basic,3,1,1
bf01ae24,19,5,11.554146201515554,25.319576001561828,1,11,85.40746075117222,1,3,Low,Basic,1,0,1
4d9a077d,4,24,23.301500037990657,2.8244871545286707,15,13,66.13987750062026,5,3,Low,Basic,3,0,1
bbb66f6b,18,24,16.246143930696288,16.62347290583284,5,9,83.65759942708013,3,1,High,Basic,1,6,1
e5ab9eae,20,23,17.67226685348227,173.1534714181717,22,7,73.40419203605931,4,4,Medium,Basic,1,5,1
34075328,20,19,11.469876655200697,41.718284559852435,18,9,79.46495752550797,3,5,Low,Basic,5,2,1
4d0d40b3,20,26,12.084709388957524,106.71328834482865,17,7,70.03339056413853,4,5,Low,Basic,2,4,1
5ae7bf2c,15,9,17.605663083548,50.14491113343868,15,8,104.1572371548364,2,3,Medium,Basic,2,0,0
32f5cd3e,8,29,18.341918143064703,31.05945438845993,10,11,68.16252989694631,6,3,High,Basic,0,4,1
33319bcd,1,14,10.247549724742507,3.8827709418597554,14,11,72.98871795526267,3,2,Low,Basic,3,5,1
47a3ea64,2,16,16.13901269513681,1.1823425467179105,1,7,75.06996088243255,1,5,High,Basic,1,6,1
ad242ba1,10,19,15.420395179846176,53.38418108677669,7,11,64.20728776410343,1,1,Medium,Basic,5,0,1
561313bc,1,9,15.68252445200316,55.61065409297659,14,13,54.53896550859436,1,2,Low,Basic,1,1,1
08c55fa8,11,20,14.45035202499561,210.62647310030061,19,16,72.23678438708875,1,3,Low,Basic,0,0,1
0fe59afd,21,28,18.28973448155344,2.92113365926098,19,2,73.90218595870917,5,3,High,Basic,1,0,0
7572ac67,4,29,15.279056677998604,18.663997488716152,21,11,72.62303079846899,1,5,High,Basic,5,5,1
5838d23e,12,4,13.750141383520765,21.624833928780387,21,8,83.77094126352802,3,3,Low,Basic,1,0,0
e307aa2f,19,1,15.211998199347947,9.640432284346817,3,12,65.62267337503852,2,5,Medium,Basic,1,6,1
3b66e70c,3,18,16.26086994666394,3.185703277898254,14,3,81.46548380124383,3,4,High,Basic,0,6,0
c3ad6bfd,1,14,20.71976552115653,65.27701569031873,19,12,90.60015925424086,2,5,Low,Basic,8,4,0
08fdd75e,1,16,16.236194659883047,16.67240057733717,10,7,79.5262542315029,3,1,Medium,Basic,3,0,1
dd7d5628,5,14,12.346301433570629,117.8068256547224,1,9,66.84901958330025,3,2,High,Basic,1,2,0
13c9c942,22,10,12.728938119682557,106.12643940186969,5,17,75.2793716518959,5,4,Low,Premium,2,1,1
62aac11b,6,13,14.25544664971464,6.6965163330703215,20,12,68.0181172394311,3,2,High,Basic,4,2,0
d25f49f6,7,9,14.606221086508793,46.65870316342575,5,7,66.24704563714593,3,2,Medium,Basic,2,3,1
d75c5c11,9,27,19.392879544311995,183.47091591412092,24,12,42.87024809134489,4,5,Medium,Premium,1,4,1
1650d00f,21,20,18.91096813231069,11.570614623508554,17,11,68.8659298830471,5,4,Medium,Basic,5,5,1
ec4dea95,18,5,12.921300596401933,62.67871131525365,22,14,59.843704267665366,3,4,Medium,Premium,1,6,1
865e9d40,16,14,13.648604424314946,8.88160000841322,5,11,79.35248228571615,3,4,Low,Basic,1,5,1
2e3fe5f0,5,12,12.68626908058586,8.886188780255527,4,13,76.55104988168729,2,5,Medium,Premium,1,2,0
567f5265,10,26,18.671390752771632,88.13898722259462,9,9,62.36469375715866,4,5,Low,Basic,1,3,0
112c68d7,11,9,16.36586679651757,33.4843587011049,18,11,94.35497713404654,1,5,High,Premium,1,1,1
ad74febd,2,1,16.251945780201947,43.47984519727482,2,13,68.71247960111766,3,5,Low,Premium,0,4,1
30c8e0f9,2,11,12.243546709765196,1.710161788593238,8,8,80.07917791079646,4,4,Medium,Basic,0,4,1
88d03ad9,8,25,10.461234506870504,33.24039478264251,16,12,53.998059288166544,2,5,Low,Premium,1,1,1
64a5481a,10,6,13.294828468240862,62.83278166599527,19,7,78.9002478739742,2,5,Low,Basic,2,1,0
3105a827,4,1,10.24813005801562,4.502375253938346,18,11,80.51372606529705,5,5,Low,Premium,1,1,1
e1b0bcb9,7,14,10.62311207371378,39.85539036540597,8,11,69.00075828594349,3,2,Medium,Basic,2,7,1
296f3a2c,12,24,15.411617663248824,183.94292965514856,6,12,67.10065505397047,4,3,Low,Basic,5,1,1
6f530a47,15,11,18.735607764774155,73.12772818845198,19,10,67.81889132916999,4,3,Low,Basic,0,2,1
40d3fca0,19,28,14.1057713099358,5.339599979587925,7,11,76.94089452062258,2,4,High,Premium,4,3,1
bb02e8db,1,29,15.91476222876588,83.40973212550625,6,12,81.13825090448236,4,5,Medium,Premium,1,5,1
92c0d9c0,15,5,13.515521063080548,63.3618389034753,14,11,70.26177243245452,3,5,Medium,Basic,1,4,1
24308c48,4,16,17.650230882597132,39.87960086383047,22,10,83.97638875102996,3,5,Low,Premium,0,5,1
98fdef72,22,19,14.973218829234044,16.43872668583199,15,16,66.37643020066211,5,5,Low,Premium,4,3,1
5b2d2885,13,22,20.48726319829838,17.68206836844266,24,11,82.65782870078914,4,3,Low,Basic,1,5,1
57bfc503,11,6,20.075537399243988,71.4336759175937,2,14,74.38892633313998,3,4,Low,Basic,3,4,0
23cf2690,21,1,18.515646168543405,25.31098009291181,24,12,86.35591396511452,2,5,Low,Basic,0,0,1
